Name,TN,FP,FN,TP,Accuracy,Precision,Recall,F1,Time,Balanced_data
Decision Tree,11988,85,76,112431,0.9987076577299727,0.999244551885954,0.999324486476397,0.9992845175826471,1.4554927349090576,False
Random Forest,12031,42,24,112483,0.999470219938995,0.9996267496111975,0.9997866799399149,0.9997067083792527,17.052068948745728,False
Logistic Regression,11440,633,587,111920,0.9902070958420293,0.9943759828702922,0.9947825468637507,0.9945792233182262,1.2416539192199707,False
K-Nearest Neighbours,11860,213,610,111897,0.9933938031786803,0.9981000802782981,0.9945781151395024,0.9963359852549005,56.61753273010254,False
Support Vector Machine,10283,1790,3476,109031,0.9577299727082998,0.9838478266754496,0.9691041446310007,0.9764203324258489,3584.387165784836,False
Decision Tree,112173,116,194,112460,0.9986218730967401,0.9989695849914725,0.9982779129014504,0.9986236291790613,2.8260059356689453,True
Random Forest,112258,31,91,112563,0.9994576403800074,0.9997246744942004,0.9991922168764535,0.9994583747691433,39.647589683532715,True
Logistic Regression,111039,1250,2395,110259,0.9837958949600566,0.9887901424997085,0.9787402133967724,0.9837395109808487,3.0708301067352295,True
K-Nearest Neighbours,112277,12,1281,111373,0.9942518771422093,0.9998922655653814,0.9886288991070002,0.9942286833988726,179.5787889957428,True
Support Vector Machine,112222,67,9110,103544,0.9592029980928501,0.9993533505129765,0.9191329202691427,0.9575659491827158,11664.14442396164,True
